Species,Country_of_Origin,Harvest_Year,Color,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Color_standardized,Quality_Category,Quality_Label,Taste_Categories,Category_Aromatic,Category_Complex,Category_Full-bodied,Category_High Quality,Category_Lingering,Category_Low Quality,Category_Medium Quality,Category_Smooth,Category_Sour,Category_Sweet
Arabica,Ethiopia,2014,green,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,green,1,High Quality,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex', 'High Quality']",1,1,1,1,1,0,0,0,1,1
Arabica,Ethiopia,2014,green,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,green,1,High Quality,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex', 'High Quality']",1,1,1,1,1,0,0,0,1,1
Arabica,Guatemala,Unknown,unknown,Unknown,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,unknown,1,High Quality,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex', 'High Quality']",1,1,1,1,1,0,0,0,1,1
Arabica,Ethiopia,2014,green,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,green,1,High Quality,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex', 'High Quality']",1,1,1,1,1,0,0,0,1,1
Arabica,Ethiopia,2014,green,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,green,1,High Quality,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex', 'High Quality']",1,1,1,1,1,0,0,0,1,1
Arabica,Brazil,2013,blue-green,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,blue-green,1,High Quality,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex', 'High Quality']",1,1,1,1,1,0,0,0,1,1
Arabica,Peru,2012,blue-green,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,blue-green,1,High Quality,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex', 'High Quality']",1,1,1,1,1,0,0,0,1,1
Arabica,Ethiopia,2010,unknown,Unknown,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,unknown,1,High Quality,"['Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex', 'High Quality']",1,1,1,1,1,0,0,0,1,0
Arabica,Ethiopia,2010,unknown,Unknown,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,unknown,1,High Quality,"['Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex', 'High Quality']",1,1,1,1,1,0,0,0,1,0
Arabica,Ethiopia,2014,green,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,green,1,High Quality,"['Sweet', 'Sour', 'Lingering', 'Aromatic', 'Complex', 'High Quality']",1,1,0,1,1,0,0,0,1,1
Arabica,Ethiopia,2014,unknown,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,unknown,1,High Quality,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex', 'High Quality']",1,1,1,1,1,0,0,0,1,1
Arabica,United States,2014,unknown,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,unknown,1,High Quality,"['Sweet', 'Sour', 'Full-bodied', 'Lingering', 'Aromatic', 'Complex', 'High Quality']",1,1,1,1,1,0,0,0,1,1
