Species,Country_of_Origin,Harvest_Year,Color,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Color_standardized,Quality_Category,Quality_Label,Taste_Categories,Category_Aromatic,Category_Complex,Category_Full-bodied,Category_High Quality,Category_Lingering,Category_Low Quality,Category_Medium Quality,Category_Smooth,Category_Sour,Category_Sweet
Arabica,Colombia,2011,unknown,Unknown,7.83,7.83,7.58,7.33,7.42,7.67,10.0,10.0,10.0,8.08,83.75,unknown,2,Medium Quality,"['Sweet', 'Smooth', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,1,0,1
Arabica,Kenya,2017,blue-green,Washed / Wet,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,10.0,7.75,83.67,blue-green,2,Medium Quality,"['Sweet', 'Lingering', 'Aromatic', 'Complex', 'Medium Quality']",1,1,0,0,1,0,1,0,0,1
Arabica,Costa Rica,Unknown,blue-green,Unknown,7.33,7.67,7.67,7.5,7.67,7.5,10.0,10.0,10.0,8.33,83.67,blue-green,2,Medium Quality,"['Sweet', 'Lingering', 'Complex', 'Medium Quality']",0,1,0,0,1,0,1,0,0,1
Arabica,Colombia,2013,green,Washed / Wet,7.67,7.67,7.67,7.67,7.33,7.75,10.0,10.0,10.0,7.92,83.67,green,2,Medium Quality,"['Sweet', 'Lingering', 'Complex', 'Medium Quality']",0,1,0,0,1,0,1,0,0,1
Arabica,Colombia,2012,green,Washed / Wet,7.75,7.75,7.58,7.83,7.17,7.75,10.0,10.0,10.0,7.83,83.67,green,2,Medium Quality,"['Sweet', 'Sour', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,1,1
Arabica,Brazil,2017-2018,green,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.92,83.58,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Colombia,2016,green,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.58,green,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,China,2015,green,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,83.58,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Mexico,2014,green,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,10.0,7.75,83.58,green,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Ethiopia,2014,unknown,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10.0,10.0,10.0,7.75,83.58,unknown,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Colombia,2014,green,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,7.67,83.58,green,2,Medium Quality,"['Sweet', 'Lingering', 'Complex', 'Medium Quality']",0,1,0,0,1,0,1,0,0,1
Arabica,Mexico,2012,unknown,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.58,unknown,2,Medium Quality,"['Sweet', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,0,1
Arabica,Colombia,2012,green,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,83.58,green,2,Medium Quality,"['Sweet', 'Medium Quality']",0,0,0,0,0,0,1,0,0,1
Arabica,Brazil,2012,blue-green,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.67,83.58,blue-green,2,Medium Quality,"['Sweet', 'Sour', 'Aromatic', 'Medium Quality']",1,0,0,0,0,0,1,0,1,1
