Species,Country_of_Origin,Harvest_Year,Color,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,QualityTier,BrewingRecommendations,QualityTier,BrewingRecommendations
Arabica,Ethiopia,2014,Green,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,Elite Grade,Pour Over Brewing; Aeropress Brewing,Elite Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Ethiopia,2014,Green,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Ethiopia,2014,Green,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,Premium Grade,French Press Brewing; Aeropress Brewing,Premium Grade,French Press Brewing; Aeropress Brewing
Arabica,Ethiopia,2014,Green,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Brazil,2013,Blue-Green,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,Premium Grade,French Press Brewing; Aeropress Brewing,Premium Grade,French Press Brewing; Aeropress Brewing
Arabica,Peru,2012,Blue-Green,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Ethiopia,2014,Green,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,China,2015,Green,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Costa Rica,2014,Green,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Mexico,2012,Green,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Ethiopia,2013,Blue-Green,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,Premium Grade,French Press Brewing; Aeropress Brewing,Premium Grade,French Press Brewing; Aeropress Brewing
Arabica,Brazil,2011,Green,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Uganda,2013,Green,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,Premium Grade,Pour Over Brewing; Aeropress Brewing,Premium Grade,Pour Over Brewing; Aeropress Brewing
Arabica,Taiwan,2015,Green,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Tanzania,2012,Blue-Green,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
Arabica,Brazil,2011,Green,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,Premium Grade,Aeropress Brewing,Premium Grade,Aeropress Brewing
